Name,ADR
aspas,203.4
Demon1,190.5
OXY,189.83
keznit,180.8
nataNk,171.83
Less,169.5
Meiy,167.75
BuZz,165.7
Victor,164.75
Elite,162.33
Lmemore,160.43
Cryocells,160.0
heat,159.4
trent,159.25
MiniBoo,158.43
Dep,158.11
Derke,157.89
QutionerX,156.0
Jremy,155.5
MaKo,155.3
tomaszy,151.4
Lightningfast,151.25
NaturE,150.6
something,150.6
Marved,148.75
cNed,148.38
Laz,147.33
t3xture,146.8
Alfajer,145.67
Zyppan,145.62
f0rsakeN,145.6
sScary,144.91
runi,144.5
Jemkin,144.14
jzz,144.0
Jinggg,143.2
xffero,143.0
JitBoyS,142.75
Keiko,142.2
N4RRATE,142.2
bang,142.0
lenne,142.0
Chronicle,141.89
invy,141.75
zekken,141.25
artzin,141.0
mindfreak,140.2
yuran,139.67
kiNgg,139.6
runneR,139.25
marteen,139.1
leaf,139.0
Sayaplayer,138.6
Asuna,138.5
nAts,138.4
ardiis,137.38
ban,137.25
SUYGETSU,136.0
Sayf,136.0
Fit1nho,135.75
RieNs,135.71
crashies,135.25
frz,135.0
Leo,134.22
JonahP,134.0
benjyfishy,133.57
valyn,133.5
MrFaliN,132.5
Governor,132.25
yetujey,132.0
Zellsis,131.5
Meteor,130.8
Xeppaa,130.67
Shao,130.62
Melser,130.4
BORKUM,129.88
Brave,129.83
ceNder,129.5
Sacy,128.75
iZu,128.0
jawgemo,127.6
grubinho,127.5
SugarZ3ro,127.44
nzr,127.2
Klaus,127.2
trexx,126.75
yay,126.73
Russ,126.5
Munchkin,126.0
johnqt,126.0
paTiTek,125.86
BeYN,125.3
TenZ,125.0
purp0,124.75
mwzera,124.4
ANGE1,123.75
Rossy,123.7
Foxy9,123.4
Jamppi,122.9
d4v41,122.8
Zest,122.73
qRaxs,122.5
saadhak,122.5
havoc,122.0
Deryeon,121.64
Enzo,121.1
Polvi,120.25
hoody,120.25
pAura,120.0
moose,120.0
Benkai,119.88
AtaKaptan,119.5
Medusa,119.0
Mistic,118.9
reazy,118.83
Cloud,118.5
Derrek,118.0
beyAz,117.67
eeiu,117.5
MAGNUM,117.3
NDG,117.12
stax,117.0
tuyz,117.0
Shyy,116.8
Carpe,116.6
logaN,115.5
Apoth,114.4
Ethan,114.25
Lakia,113.8
TakaS,113.33
Kicks,112.62
hiroronn,112.33
sh1n,112.3
sheydos,112.17
Khalil,111.6
supamen,111.6
xccurate,111.1
kamo,110.83
cauanzin,108.5
blaZek1ng,108.5
JessieVash,108.38
Karon,107.1
starxo,106.67
fl1pzjder,106.29
Mazino,106.0
tex,105.6
ShadoW,105.17
icy,103.25
C0M,103.2
Anthem,102.5
Estrella,101.86
kon4n,101.2
Boo,101.0
SSeeS,100.25
Surf,99.0
Quick,97.5
Crws,96.88
Retla,96.82
neth,96.75
Boaster,95.89
vanity,93.33
Redgar,89.75
RgLMeister,87.5
mazin,85.5
Boostio,77.5
Wailers,72.17
