Name,Deaths
Sayaplayer,165
Carpe,159
Keiko,156
iZu,156
Jamppi,154
nAts,149
Mistic,146
marteen,144
Rossy,142
xccurate,141
Enzo,140
Dep,138
MAGNUM,135
N4RRATE,132
Derke,131
sh1n,130
hiroronn,130
Jremy,127
MiniBoo,127
Polvi,126
tomaszy,126
runneR,126
invy,125
NDG,125
purp0,124
Zyppan,122
JessieVash,122
ceNder,121
AtaKaptan,121
yay,121
yuran,121
SugarZ3ro,119
Redgar,119
RieNs,119
Fit1nho,119
Lightningfast,119
ban,119
Deryeon,118
Kicks,118
Sayf,117
Alfajer,117
hoody,117
trexx,117
ANGE1,117
JitBoyS,116
Laz,116
Chronicle,116
Boo,115
Governor,114
BORKUM,114
Russ,114
paTiTek,114
blaZek1ng,113
Meteor,112
sScary,112
Cloud,112
Benkai,111
Zest,111
MrFaliN,109
Retla,109
ardiis,109
qRaxs,107
fl1pzjder,106
cNed,106
Boaster,105
benjyfishy,104
OXY,104
yetujey,103
Crws,102
BuZz,100
Lmemore,100
Shao,98
Munchkin,98
SUYGETSU,98
Estrella,98
t3xture,97
Leo,96
Karon,96
beyAz,96
TakaS,96
kamo,95
Lakia,95
Jemkin,94
xffero,92
Surf,91
vanity,91
nataNk,91
Xeppaa,90
C0M,90
stax,89
ShadoW,89
Mazino,89
grubinho,87
Wailers,86
tex,86
starxo,86
QutionerX,85
havoc,83
mwzera,83
jawgemo,83
moose,82
Foxy9,82
logaN,82
Meiy,81
kiNgg,81
Brave,81
BeYN,80
zekken,80
Jinggg,80
aspas,80
runi,79
pAura,78
supamen,78
kon4n,77
mindfreak,77
Apoth,76
something,76
Derrek,76
f0rsakeN,76
sheydos,75
Khalil,74
MaKo,73
TenZ,73
Anthem,72
nzr,72
d4v41,71
reazy,71
keznit,71
SSeeS,71
NaturE,70
Medusa,69
neth,69
Sacy,68
Klaus,67
Elite,66
Melser,63
heat,63
Asuna,62
Boostio,61
Zellsis,61
icy,59
bang,58
Cryocells,58
johnqt,57
Shyy,55
trent,53
eeiu,52
leaf,52
Demon1,51
JonahP,50
valyn,49
Victor,49
Ethan,48
crashies,43
Marved,41
artzin,35
saadhak,33
cauanzin,32
jzz,31
RgLMeister,30
Less,30
Quick,30
frz,28
mazin,26
tuyz,26
lenne,13
