Name,First Kills
BuZz,44
yay,43
Sayaplayer,38
Jremy,37
t3xture,37
Keiko,37
marteen,35
MiniBoo,34
Derke,34
Governor,34
Meiy,32
purp0,31
Polvi,30
OXY,30
Zyppan,30
Laz,29
runneR,28
iZu,28
Dep,27
Meteor,26
ban,26
QutionerX,25
cNed,24
Chronicle,24
MaKo,23
something,22
aspas,22
keznit,21
sScary,21
Demon1,21
Fit1nho,20
nAts,20
yetujey,20
NDG,19
Munchkin,19
Jamppi,19
Jemkin,19
N4RRATE,18
TakaS,18
ANGE1,18
pAura,18
Deryeon,18
MrFaliN,18
jawgemo,17
Mistic,17
AtaKaptan,17
BORKUM,17
trexx,17
Enzo,16
Asuna,16
Lmemore,16
ardiis,16
Sayf,16
tomaszy,16
xffero,15
tex,15
stax,15
RieNs,15
Rossy,15
hoody,15
f0rsakeN,15
zekken,15
Foxy9,15
Boo,15
JitBoyS,15
yuran,14
Alfajer,14
hiroronn,14
nataNk,14
Medusa,14
kiNgg,14
ceNder,14
Boaster,14
blaZek1ng,14
Klaus,13
kamo,13
C0M,13
Lakia,13
Russ,13
Cloud,13
Redgar,13
d4v41,13
grubinho,13
icy,12
Jinggg,12
Xeppaa,12
Melser,12
havoc,12
Brave,12
Carpe,12
BeYN,12
xccurate,12
valyn,12
MAGNUM,12
Retla,12
Lightningfast,12
Shao,12
starxo,12
SUYGETSU,12
TenZ,11
Karon,11
Elite,11
mwzera,11
sh1n,11
Zest,11
Cryocells,11
qRaxs,10
supamen,10
invy,10
JessieVash,10
paTiTek,9
neth,9
Apoth,9
Benkai,9
Sacy,9
Victor,9
fl1pzjder,9
kon4n,9
Anthem,8
Mazino,8
vanity,8
SSeeS,8
Leo,8
runi,8
Zellsis,8
SugarZ3ro,8
heat,8
bang,8
jzz,7
artzin,7
sheydos,7
logaN,7
leaf,7
trent,7
Wailers,7
Estrella,7
Ethan,6
benjyfishy,6
Marved,6
JonahP,6
eeiu,6
mindfreak,6
Quick,6
johnqt,5
beyAz,5
Khalil,5
moose,5
ShadoW,5
Boostio,4
Shyy,4
saadhak,4
Surf,4
nzr,4
Kicks,4
NaturE,4
reazy,3
Less,3
Crws,3
Derrek,3
crashies,2
lenne,2
RgLMeister,2
mazin,2
frz,2
cauanzin,1
tuyz,1
