Name,HS Rate
havoc,0.45
Elite,0.44
Demon1,0.44
crashies,0.44
JitBoyS,0.43
jzz,0.41
heat,0.41
logaN,0.4
Russ,0.4
Redgar,0.39
Fit1nho,0.39
runi,0.38
NaturE,0.37
SSeeS,0.37
Quick,0.37
mindfreak,0.37
supamen,0.37
grubinho,0.36
Jemkin,0.36
Lightningfast,0.35
tuyz,0.35
Melser,0.35
ban,0.35
blaZek1ng,0.35
Deryeon,0.35
Lmemore,0.35
Brave,0.35
Mazino,0.35
RieNs,0.35
Boo,0.35
Derrek,0.34
tomaszy,0.34
SUYGETSU,0.34
Apoth,0.34
hiroronn,0.34
purp0,0.34
Medusa,0.33
Zest,0.33
Alfajer,0.33
Keiko,0.33
Surf,0.33
f0rsakeN,0.33
Mistic,0.33
SugarZ3ro,0.32
ANGE1,0.32
johnqt,0.32
starxo,0.32
aspas,0.32
trent,0.32
invy,0.32
Shao,0.32
MiniBoo,0.32
ceNder,0.31
artzin,0.31
eeiu,0.31
tex,0.31
kiNgg,0.31
Marved,0.31
benjyfishy,0.31
Karon,0.31
keznit,0.31
Sacy,0.31
bang,0.3
MaKo,0.3
marteen,0.3
Sayf,0.3
Xeppaa,0.3
Jamppi,0.3
moose,0.29
kamo,0.29
valyn,0.29
N4RRATE,0.29
Sayaplayer,0.29
t3xture,0.29
Retla,0.29
Dep,0.29
nAts,0.29
nzr,0.29
sheydos,0.28
something,0.28
BeYN,0.28
xffero,0.28
stax,0.28
zekken,0.28
reazy,0.28
Munchkin,0.28
Shyy,0.28
nataNk,0.28
Cloud,0.28
yetujey,0.28
Meteor,0.27
neth,0.27
qRaxs,0.27
Zyppan,0.27
Khalil,0.27
QutionerX,0.27
Less,0.27
mazin,0.27
OXY,0.27
sh1n,0.27
cNed,0.27
AtaKaptan,0.27
pAura,0.27
yuran,0.27
d4v41,0.27
Carpe,0.26
Lakia,0.26
Klaus,0.26
iZu,0.26
jawgemo,0.26
Cryocells,0.26
hoody,0.26
Leo,0.26
vanity,0.26
BORKUM,0.26
Victor,0.25
TenZ,0.25
MrFaliN,0.25
Foxy9,0.25
Governor,0.25
MAGNUM,0.25
ardiis,0.25
Anthem,0.25
Meiy,0.25
Crws,0.24
Rossy,0.24
BuZz,0.24
Laz,0.24
yay,0.24
leaf,0.24
paTiTek,0.24
Derke,0.24
Benkai,0.24
NDG,0.24
xccurate,0.24
JessieVash,0.23
Jremy,0.23
sScary,0.23
kon4n,0.23
Polvi,0.23
ShadoW,0.23
Asuna,0.23
Estrella,0.23
saadhak,0.23
cauanzin,0.23
fl1pzjder,0.22
Zellsis,0.21
beyAz,0.21
Wailers,0.21
RgLMeister,0.21
Jinggg,0.21
Ethan,0.21
Chronicle,0.21
frz,0.21
TakaS,0.2
icy,0.2
mwzera,0.2
JonahP,0.2
Boaster,0.2
Boostio,0.2
Enzo,0.19
trexx,0.19
Kicks,0.18
C0M,0.16
runneR,0.14
lenne,0.13
