Name,Kast
crashies,0.88
BeYN,0.85
Demon1,0.85
MaKo,0.84
something,0.83
mindfreak,0.82
Elite,0.81
trent,0.8
BuZz,0.8
heat,0.8
SugarZ3ro,0.8
Jemkin,0.79
trexx,0.79
Chronicle,0.79
valyn,0.78
stax,0.78
Klaus,0.78
Leo,0.78
Jinggg,0.78
Shyy,0.78
Zellsis,0.78
Xeppaa,0.78
tomaszy,0.78
Munchkin,0.78
grubinho,0.78
cNed,0.78
f0rsakeN,0.77
Shao,0.77
Victor,0.77
hiroronn,0.77
bang,0.77
kiNgg,0.77
OXY,0.77
Medusa,0.76
aspas,0.76
d4v41,0.76
QutionerX,0.76
Boaster,0.76
Laz,0.76
JonahP,0.76
RieNs,0.76
invy,0.76
Ethan,0.76
Sayf,0.76
Cryocells,0.76
MrFaliN,0.75
SUYGETSU,0.75
TenZ,0.75
Foxy9,0.75
vanity,0.75
qRaxs,0.75
Zyppan,0.75
Lakia,0.75
Kicks,0.74
tex,0.74
Mistic,0.74
Karon,0.74
xffero,0.74
sScary,0.74
MAGNUM,0.74
sh1n,0.74
keznit,0.74
C0M,0.74
N4RRATE,0.73
Melser,0.73
Brave,0.73
Lmemore,0.73
Estrella,0.73
nAts,0.73
ardiis,0.73
Russ,0.73
Alfajer,0.73
leaf,0.73
NaturE,0.73
MiniBoo,0.73
Jamppi,0.73
cauanzin,0.73
johnqt,0.72
mazin,0.72
Marved,0.72
Enzo,0.72
Carpe,0.72
Jremy,0.72
hoody,0.72
eeiu,0.72
Rossy,0.72
Less,0.71
moose,0.71
Deryeon,0.71
benjyfishy,0.71
marteen,0.71
Boo,0.71
Fit1nho,0.71
Dep,0.71
Sayaplayer,0.71
runi,0.71
Sacy,0.71
Meteor,0.71
Lightningfast,0.71
BORKUM,0.71
jzz,0.71
yuran,0.7
xccurate,0.7
Mazino,0.7
yetujey,0.7
SSeeS,0.7
Zest,0.7
NDG,0.7
paTiTek,0.7
Retla,0.7
ban,0.7
icy,0.7
AtaKaptan,0.69
t3xture,0.69
Redgar,0.69
runneR,0.69
neth,0.69
Governor,0.69
reazy,0.69
Keiko,0.69
iZu,0.69
Derke,0.69
Meiy,0.69
beyAz,0.68
sheydos,0.68
JitBoyS,0.68
nataNk,0.68
Cloud,0.68
saadhak,0.68
ANGE1,0.68
Khalil,0.68
Anthem,0.68
frz,0.68
Benkai,0.67
yay,0.67
RgLMeister,0.67
purp0,0.67
ceNder,0.67
zekken,0.67
nzr,0.66
fl1pzjder,0.66
Surf,0.66
supamen,0.66
Polvi,0.66
logaN,0.66
Crws,0.66
tuyz,0.65
blaZek1ng,0.65
JessieVash,0.65
pAura,0.65
Boostio,0.64
kon4n,0.63
starxo,0.63
havoc,0.62
lenne,0.62
Derrek,0.62
Apoth,0.61
Wailers,0.6
mwzera,0.6
ShadoW,0.59
kamo,0.59
Asuna,0.59
artzin,0.57
jawgemo,0.57
TakaS,0.54
Quick,0.54
