Name,Rating
aspas,1.44
Demon1,1.39
MaKo,1.39
heat,1.34
Elite,1.29
trent,1.29
Marved,1.29
OXY,1.27
keznit,1.26
valyn,1.25
Victor,1.23
something,1.21
BuZz,1.21
Laz,1.2
Meiy,1.2
Shao,1.19
crashies,1.18
Lmemore,1.17
cNed,1.17
Leo,1.16
Cryocells,1.16
JonahP,1.16
Chronicle,1.16
SUYGETSU,1.16
ardiis,1.15
mindfreak,1.15
tomaszy,1.15
runi,1.15
kiNgg,1.14
nataNk,1.13
BeYN,1.13
N4RRATE,1.12
qRaxs,1.11
leaf,1.11
t3xture,1.11
lenne,1.11
MrFaliN,1.11
Jemkin,1.11
bang,1.1
invy,1.1
stax,1.1
SugarZ3ro,1.09
Zellsis,1.09
f0rsakeN,1.09
Shyy,1.09
Dep,1.09
BORKUM,1.08
Jinggg,1.08
Alfajer,1.08
yetujey,1.08
Lightningfast,1.07
QutionerX,1.07
TenZ,1.07
benjyfishy,1.07
Xeppaa,1.07
johnqt,1.07
d4v41,1.07
eeiu,1.06
xffero,1.06
Sacy,1.06
Foxy9,1.06
Less,1.06
sScary,1.06
Sayf,1.05
MiniBoo,1.05
Jremy,1.05
trexx,1.05
Lakia,1.04
Karon,1.04
Melser,1.04
Rossy,1.04
JitBoyS,1.04
Munchkin,1.04
pAura,1.03
Derke,1.03
yuran,1.02
reazy,1.02
Keiko,1.02
Fit1nho,1.02
Klaus,1.02
nAts,1.02
iZu,1.02
marteen,1.01
sh1n,1.01
Sayaplayer,1.01
Zyppan,1.0
nzr,1.0
Boaster,1.0
moose,1.0
ban,1.0
NaturE,0.99
Russ,0.98
RieNs,0.98
Enzo,0.97
MAGNUM,0.97
Brave,0.97
Governor,0.97
purp0,0.96
Mistic,0.95
ANGE1,0.95
runneR,0.95
xccurate,0.95
grubinho,0.95
AtaKaptan,0.95
Jamppi,0.95
Cloud,0.94
Asuna,0.94
ceNder,0.94
Kicks,0.94
Crws,0.94
Ethan,0.94
Medusa,0.93
jzz,0.93
hiroronn,0.92
logaN,0.91
paTiTek,0.91
frz,0.91
artzin,0.91
Meteor,0.9
Mazino,0.9
hoody,0.9
yay,0.9
Carpe,0.9
Deryeon,0.89
zekken,0.89
NDG,0.89
tex,0.88
Benkai,0.87
vanity,0.87
Boo,0.87
C0M,0.86
Zest,0.86
sheydos,0.86
Anthem,0.85
Estrella,0.84
JessieVash,0.83
starxo,0.83
SSeeS,0.83
Surf,0.82
Khalil,0.82
tuyz,0.81
fl1pzjder,0.81
neth,0.81
ShadoW,0.81
Derrek,0.8
mazin,0.79
Redgar,0.79
mwzera,0.79
Polvi,0.79
blaZek1ng,0.78
Retla,0.78
beyAz,0.78
icy,0.76
RgLMeister,0.75
kon4n,0.75
jawgemo,0.74
kamo,0.73
Apoth,0.73
cauanzin,0.71
saadhak,0.71
TakaS,0.7
supamen,0.7
Wailers,0.69
havoc,0.69
Boostio,0.67
Quick,0.65
